name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Caf-Eleven,No,No,4.0/5,419,500,Cafes
Parimala Sweets,No,No,3.5/5,14,220,Dining
Swaada Healthy Kitchen,No,No,3.3/5,0,320,Dining
Woodee Pizza,Yes,No,3.7/5,180,500,Cafes
Meghana Foods,Yes,No,4.4/5,4287,660,Dining
Gawdaru Mane Beriyani,No,No,3.3/5,0,270,Dining
Floured-Baked With Love,No,No,3.8/5,46,400,Dining
Sea Green Cafe,No,No,3.3/5,4,500,Cafes
Grand Village,No,No,3.8/5,155,660,Buffet
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0,150,Dining
Recipe,Yes,No,4.0/5,850,400,Dining
Cake Bite,No,No,3.4/5,0,330,Dining
Catch-up-ino,Yes,No,3.9/5,124,720,Cafes
The Coffee Shack,Yes,Yes,4.2/5,167,500,Cafes
Frozen Bottle,Yes,No,4.2/5,137,400,Dining
Banashankari Donne Biriyani,Yes,No,3.8/5,104,330,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8/5,141,550,Dining
Empire Restaurant,Yes,No,4.4/5,4670,830,other
Roll Magic Fast Food,No,No,3.4/5,0,200,Dining
Darkolates,No,No,3.3/5,0,180,Dining
San Churro Cafe,Yes,No,3.8/5,1002,800,Cafes
Polar Bear,Yes,No,3.8/5,71,400,Dining
Vaishali Deluxe,No,No,3.8/5,40,630,Dining
Krishna Sagar,No,No,3.5/5,31,200,Dining
Cake Bite,No,No,3.4/5,0,300,Dining
Parjanya Chat Zone,No,No,3.3/5,17,200,Dining
Frozen Bottle,Yes,No,4.2/5,148,400,Dining
Chinese Kitchen,Yes,No,3.8/5,56,150,Dining
New Mangalore Lunch Home,No,No,3.3/5,7,200,Dining
Parimala Sweets,No,No,3.5/5,14,180,Dining
The Vintage Cafe,Yes,No,3.0/5,62,400,Cafes
Wood Stove,No,No,3.4/5,0,160,Dining
The Biryani Cafe,No,No,4.1/5,520,300,Dining
Spice 9,No,No,3.4/5,8,300,Dining
The Big O Bakes,No,No,4.0/5,61,270,Dining
Naveen Kabab & Biriyani Mane,No,No,3.2/5,10,300,Dining
Dharwad Line Bazaar Mishra Pedha,No,No,3.4/5,0,150,Dining
Kotian Karavali Restaurant,No,No,3.5/5,10,300,Dining
